iter	Passed	Remaining
1607	22601	47677
1608	22614	47659
1609	22627	47643
1610	22641	47629
1611	22654	47613
1612	22666	47595
1613	22679	47579
1614	22692	47563
1615	22705	47545
1616	22718	47529
1617	22730	47511
1618	22743	47495
1619	22759	47485
1620	22777	47480
1621	22790	47464
1622	22804	47448
1623	22817	47432
1624	22829	47415
1625	22842	47399
1626	22856	47383
1627	22870	47371
1628	22883	47354
1629	22896	47338
1630	22909	47322
1631	22922	47305
1632	22934	47288
1633	22953	47282
1634	22965	47265
1635	22979	47250
1636	22992	47234
1637	23004	47217
1638	23017	47200
1639	23030	47184
1640	23043	47169
1641	23056	47152
1642	23069	47135
1643	23082	47119
1644	23095	47104
1645	23108	47087
1646	23121	47071
1647	23135	47057
1648	23148	47041
1649	23161	47024
1650	23174	47008
1651	23187	46992
1652	23199	46974
1653	23212	46957
1654	23225	46942
1655	23238	46925
1656	23250	46907
1657	23263	46891
1658	23276	46876
1659	23294	46869
1660	23307	46852
1661	23319	46835
1662	23332	46819
1663	23345	46802
1664	23358	46786
1665	23372	46772
1666	23385	46756
1667	23398	46739
